Domain,Area,Element,Item,Year,Value
Food Balances (2014-),United States of America,Import Quantity,Pigmeat,2014,561
Food Balances (2014-),United States of America,Import Quantity,Pigmeat,2015,621
Food Balances (2014-),United States of America,Import Quantity,Pigmeat,2016,611
Food Balances (2014-),United States of America,Import Quantity,Pigmeat,2017,627
Food Balances (2014-),United States of America,Import Quantity,Pigmeat,2018,596
Food Balances (2014-),United States of America,Stock Variation,Pigmeat,2014,6
Food Balances (2014-),United States of America,Stock Variation,Pigmeat,2015,27
Food Balances (2014-),United States of America,Stock Variation,Pigmeat,2016,-22
Food Balances (2014-),United States of America,Stock Variation,Pigmeat,2017,48
Food Balances (2014-),United States of America,Stock Variation,Pigmeat,2018,36
Food Balances (2014-),United States of America,Export Quantity,Pigmeat,2014,2191
Food Balances (2014-),United States of America,Export Quantity,Pigmeat,2015,2259
Food Balances (2014-),United States of America,Export Quantity,Pigmeat,2016,2360
Food Balances (2014-),United States of America,Export Quantity,Pigmeat,2017,2518
Food Balances (2014-),United States of America,Export Quantity,Pigmeat,2018,2638
Food Balances (2014-),United States of America,Losses,Pigmeat,2014,
Food Balances (2014-),United States of America,Losses,Pigmeat,2015,
Food Balances (2014-),United States of America,Losses,Pigmeat,2016,
Food Balances (2014-),United States of America,Losses,Pigmeat,2017,
Food Balances (2014-),United States of America,Losses,Pigmeat,2018,
Food Balances (2014-),United States of America,Processing,Pigmeat,2014,0
Food Balances (2014-),United States of America,Processing,Pigmeat,2015,0
Food Balances (2014-),United States of America,Processing,Pigmeat,2016,0
Food Balances (2014-),United States of America,Processing,Pigmeat,2017,0
Food Balances (2014-),United States of America,Processing,Pigmeat,2018,0
Food Balances (2014-),United States of America,Other uses (non-food),Pigmeat,2014,498
Food Balances (2014-),United States of America,Other uses (non-food),Pigmeat,2015,999
Food Balances (2014-),United States of America,Other uses (non-food),Pigmeat,2016,1017
Food Balances (2014-),United States of America,Other uses (non-food),Pigmeat,2017,1043
Food Balances (2014-),United States of America,Other uses (non-food),Pigmeat,2018,787
Food Balances (2014-),United States of America,Tourist consumption,Pigmeat,2014,
Food Balances (2014-),United States of America,Tourist consumption,Pigmeat,2015,
Food Balances (2014-),United States of America,Tourist consumption,Pigmeat,2016,
Food Balances (2014-),United States of America,Tourist consumption,Pigmeat,2017,
Food Balances (2014-),United States of America,Tourist consumption,Pigmeat,2018,
Food Balances (2014-),United States of America,Residuals,Pigmeat,2014,-97
Food Balances (2014-),United States of America,Residuals,Pigmeat,2015,-91
Food Balances (2014-),United States of America,Residuals,Pigmeat,2016,-87
Food Balances (2014-),United States of America,Residuals,Pigmeat,2017,-86
Food Balances (2014-),United States of America,Residuals,Pigmeat,2018,-79
Food Balances (2014-),United States of America,Production,Poultry Meat,2014,20399
Food Balances (2014-),United States of America,Production,Poultry Meat,2015,21017
Food Balances (2014-),United States of America,Production,Poultry Meat,2016,21483
Food Balances (2014-),United States of America,Production,Poultry Meat,2017,21914
Food Balances (2014-),United States of America,Production,Poultry Meat,2018,22298
Food Balances (2014-),United States of America,Import Quantity,Poultry Meat,2014,105
Food Balances (2014-),United States of America,Import Quantity,Poultry Meat,2015,132
Food Balances (2014-),United States of America,Import Quantity,Poultry Meat,2016,135
Food Balances (2014-),United States of America,Import Quantity,Poultry Meat,2017,123
Food Balances (2014-),United States of America,Import Quantity,Poultry Meat,2018,128
Food Balances (2014-),United States of America,Stock Variation,Poultry Meat,2014,9
Food Balances (2014-),United States of America,Stock Variation,Poultry Meat,2015,79
Food Balances (2014-),United States of America,Stock Variation,Poultry Meat,2016,-20
Food Balances (2014-),United States of America,Stock Variation,Poultry Meat,2017,40
Food Balances (2014-),United States of America,Stock Variation,Poultry Meat,2018,5
Food Balances (2014-),United States of America,Export Quantity,Poultry Meat,2014,4098
Food Balances (2014-),United States of America,Export Quantity,Poultry Meat,2015,3419
Food Balances (2014-),United States of America,Export Quantity,Poultry Meat,2016,3580
Food Balances (2014-),United States of America,Export Quantity,Poultry Meat,2017,3692
Food Balances (2014-),United States of America,Export Quantity,Poultry Meat,2018,3776
Food Balances (2014-),United States of America,Losses,Poultry Meat,2014,
Food Balances (2014-),United States of America,Losses,Poultry Meat,2015,
Food Balances (2014-),United States of America,Losses,Poultry Meat,2016,
Food Balances (2014-),United States of America,Losses,Poultry Meat,2017,
Food Balances (2014-),United States of America,Losses,Poultry Meat,2018,
Food Balances (2014-),United States of America,Processing,Poultry Meat,2014,26
Food Balances (2014-),United States of America,Processing,Poultry Meat,2015,23
Food Balances (2014-),United States of America,Processing,Poultry Meat,2016,27
Food Balances (2014-),United States of America,Processing,Poultry Meat,2017,77
Food Balances (2014-),United States of America,Processing,Poultry Meat,2018,27
Food Balances (2014-),United States of America,Other uses (non-food),Poultry Meat,2014,73
Food Balances (2014-),United States of America,Other uses (non-food),Poultry Meat,2015,84
Food Balances (2014-),United States of America,Other uses (non-food),Poultry Meat,2016,87
Food Balances (2014-),United States of America,Other uses (non-food),Poultry Meat,2017,89
Food Balances (2014-),United States of America,Other uses (non-food),Poultry Meat,2018,93
Food Balances (2014-),United States of America,Tourist consumption,Poultry Meat,2014,
Food Balances (2014-),United States of America,Tourist consumption,Poultry Meat,2015,
Food Balances (2014-),United States of America,Tourist consumption,Poultry Meat,2016,
Food Balances (2014-),United States of America,Tourist consumption,Poultry Meat,2017,
Food Balances (2014-),United States of America,Tourist consumption,Poultry Meat,2018,
Food Balances (2014-),United States of America,Residuals,Poultry Meat,2014,0
Food Balances (2014-),United States of America,Residuals,Poultry Meat,2015,0
Food Balances (2014-),United States of America,Residuals,Poultry Meat,2016,0
Food Balances (2014-),United States of America,Residuals,Poultry Meat,2017,0
Food Balances (2014-),United States of America,Residuals,Poultry Meat,2018,0
Food Balances (2014-),United States of America,Production,"Meat, Other",2014,286
Food Balances (2014-),United States of America,Production,"Meat, Other",2015,287
Food Balances (2014-),United States of America,Production,"Meat, Other",2016,290
Food Balances (2014-),United States of America,Production,"Meat, Other",2017,290
Food Balances (2014-),United States of America,Production,"Meat, Other",2018,292
Food Balances (2014-),United States of America,Import Quantity,"Meat, Other",2014,11
Food Balances (2014-),United States of America,Import Quantity,"Meat, Other",2015,12
Food Balances (2014-),United States of America,Import Quantity,"Meat, Other",2016,11
Food Balances (2014-),United States of America,Import Quantity,"Meat, Other",2017,11
Food Balances (2014-),United States of America,Import Quantity,"Meat, Other",2018,11
Food Balances (2014-),United States of America,Stock Variation,"Meat, Other",2014,0
Food Balances (2014-),United States of America,Stock Variation,"Meat, Other",2015,1
Food Balances (2014-),United States of America,Stock Variation,"Meat, Other",2016,1
Food Balances (2014-),United States of America,Stock Variation,"Meat, Other",2017,1
Food Balances (2014-),United States of America,Stock Variation,"Meat, Other",2018,2
Food Balances (2014-),United States of America,Export Quantity,"Meat, Other",2014,9
Food Balances (2014-),United States of America,Export Quantity,"Meat, Other",2015,7
Food Balances (2014-),United States of America,Export Quantity,"Meat, Other",2016,8
Food Balances (2014-),United States of America,Export Quantity,"Meat, Other",2017,8
Food Balances (2014-),United States of America,Export Quantity,"Meat, Other",2018,7
Food Balances (2014-),United States of America,Losses,"Meat, Other",2014,
Food Balances (2014-),United States of America,Losses,"Meat, Other",2015,
Food Balances (2014-),United States of America,Losses,"Meat, Other",2016,
Food Balances (2014-),United States of America,Losses,"Meat, Other",2017,
Food Balances (2014-),United States of America,Losses,"Meat, Other",2018,
Food Balances (2014-),United States of America,Processing,"Meat, Other",2014,
Food Balances (2014-),United States of America,Processing,"Meat, Other",2015,
Food Balances (2014-),United States of America,Processing,"Meat, Other",2016,
Food Balances (2014-),United States of America,Processing,"Meat, Other",2017,
Food Balances (2014-),United States of America,Processing,"Meat, Other",2018,
Food Balances (2014-),United States of America,Other uses (non-food),"Meat, Other",2014,
Food Balances (2014-),United States of America,Other uses (non-food),"Meat, Other",2015,
Food Balances (2014-),United States of America,Other uses (non-food),"Meat, Other",2016,
Food Balances (2014-),United States of America,Other uses (non-food),"Meat, Other",2017,
Food Balances (2014-),United States of America,Other uses (non-food),"Meat, Other",2018,
Food Balances (2014-),United States of America,Tourist consumption,"Meat, Other",2014,
Food Balances (2014-),United States of America,Tourist consumption,"Meat, Other",2015,
Food Balances (2014-),United States of America,Tourist consumption,"Meat, Other",2016,
Food Balances (2014-),United States of America,Tourist consumption,"Meat, Other",2017,
Food Balances (2014-),United States of America,Tourist consumption,"Meat, Other",2018,
Food Balances (2014-),United States of America,Residuals,"Meat, Other",2014,-1
Food Balances (2014-),United States of America,Residuals,"Meat, Other",2015,0
Food Balances (2014-),United States of America,Residuals,"Meat, Other",2016,0
Food Balances (2014-),United States of America,Residuals,"Meat, Other",2017,-2
Food Balances (2014-),United States of America,Residuals,"Meat, Other",2018,-3
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1961,7426
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1962,7411
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1963,7886
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1964,8831
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1965,8957
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1966,9360
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1967,9530
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1968,9789
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1969,9888
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1970,10103
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1971,10182
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1972,10374
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1973,9813
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1974,10716
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1975,11271
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1976,12166
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1977,11845
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1978,11282
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1979,9925
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1980,9999
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1981,10353
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1982,10425
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1983,10746
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1984,10927
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1985,10996
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1986,11292
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1987,10884
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1988,10879
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1989,10633
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1990,10465
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1991,10534
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1992,10612
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1993,10584
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1994,11194
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1995,11585
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1996,11749
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1997,11714
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1998,11803
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,1999,12123
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,2000,12298
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,2001,11982
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,2002,12427
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,2003,12039
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,2004,11135
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,2005,11196
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,2006,11863
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,2007,11979
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,2008,12163
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,2009,11891
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,2010,12046
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,2011,11921
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,2012,11811
"Food Balances (-2013, old methodology and population)",United States of America,Production,Bovine Meat,2013,11719
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1961,408
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1962,584
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1963,678
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1964,490
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1965,429
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1966,553
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1967,606
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1968,697
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1969,752
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1970,883
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1971,846
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1972,957
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1973,968
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1974,791
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1975,863
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1976,983
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1977,885
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1978,1068
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1979,1126
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1980,1003
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1981,861
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1982,970
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1983,907
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1984,834
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1985,958
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1986,998
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1987,1111
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1988,1163
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1989,1049
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1990,1143
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1991,1171
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1992,1231
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1993,1156
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1994,1121
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1995,882
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1996,990
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1997,1130
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1998,1282
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,1999,1397
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,2000,1490
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,2001,1541
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,2002,1563
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,2003,1445
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,2004,1787
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,2005,1750
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,2006,1493
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,2007,1477
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,2008,1235
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,2009,1277
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,2010,1135
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,2011,1017
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,2012,1096
"Food Balances (-2013, old methodology and population)",United States of America,Import Quantity,Bovine Meat,2013,1113
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1961,-12
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1962,4
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1963,-39
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1964,-19
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1965,26
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1966,-22
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1967,14
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1968,-7
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1969,-27
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1970,7
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1971,-13
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1972,-1
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1973,-36
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1974,20
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1975,-25
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1976,-47
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1977,63
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1978,-39
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1979,24
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1980,10
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1981,32
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1982,-17
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1983,-15
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1984,-17
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1985,20
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1986,5
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1987,13
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1988,-17
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1989,40
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1990,-27
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1991,-10
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1992,28
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1993,-76
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1994,-9
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1995,13
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1996,64
"Food Balances (-2013, old methodology and population)",United States of America,Stock Variation,Bovine Meat,1997,-40
