Domain,Area,Element,Item,Year,Unit,Value
"Food Balances (-2013, old methodology and population)","United States of America","Losses","Pigmeat","2013","",""
"Food Balances (-2013, old methodology and population)","United States of America","Processing","Pigmeat","2008","1000 tonnes","0"
"Food Balances (-2013, old methodology and population)","United States of America","Processing","Pigmeat","2009","1000 tonnes","0"
"Food Balances (-2013, old methodology and population)","United States of America","Processing","Pigmeat","2010","1000 tonnes","-0"
"Food Balances (-2013, old methodology and population)","United States of America","Processing","Pigmeat","2011","1000 tonnes","-0"
"Food Balances (-2013, old methodology and population)","United States of America","Processing","Pigmeat","2012","1000 tonnes","0"
"Food Balances (-2013, old methodology and population)","United States of America","Processing","Pigmeat","2013","1000 tonnes","-0"
"Food Balances (-2013, old methodology and population)","United States of America","Other uses (non-food)","Pigmeat","2008","1000 tonnes","15"
"Food Balances (-2013, old methodology and population)","United States of America","Other uses (non-food)","Pigmeat","2009","1000 tonnes","5"
"Food Balances (-2013, old methodology and population)","United States of America","Other uses (non-food)","Pigmeat","2010","1000 tonnes","0"
"Food Balances (-2013, old methodology and population)","United States of America","Other uses (non-food)","Pigmeat","2011","1000 tonnes","0"
"Food Balances (-2013, old methodology and population)","United States of America","Other uses (non-food)","Pigmeat","2012","1000 tonnes","0"
"Food Balances (-2013, old methodology and population)","United States of America","Other uses (non-food)","Pigmeat","2013","1000 tonnes","0"
"Food Balances (-2013, old methodology and population)","United States of America","Tourist consumption","Pigmeat","2008","",""
"Food Balances (-2013, old methodology and population)","United States of America","Tourist consumption","Pigmeat","2009","",""
"Food Balances (-2013, old methodology and population)","United States of America","Tourist consumption","Pigmeat","2010","",""
"Food Balances (-2013, old methodology and population)","United States of America","Tourist consumption","Pigmeat","2011","",""
"Food Balances (-2013, old methodology and population)","United States of America","Tourist consumption","Pigmeat","2012","",""
"Food Balances (-2013, old methodology and population)","United States of America","Tourist consumption","Pigmeat","2013","",""
"Food Balances (-2013, old methodology and population)","United States of America","Residuals","Pigmeat","2008","",""
"Food Balances (-2013, old methodology and population)","United States of America","Residuals","Pigmeat","2009","",""
"Food Balances (-2013, old methodology and population)","United States of America","Residuals","Pigmeat","2010","",""
"Food Balances (-2013, old methodology and population)","United States of America","Residuals","Pigmeat","2011","",""
"Food Balances (-2013, old methodology and population)","United States of America","Residuals","Pigmeat","2012","",""
"Food Balances (-2013, old methodology and population)","United States of America","Residuals","Pigmeat","2013","",""
"Food Balances (-2013, old methodology and population)","United States of America","Production","Poultry Meat","2008","1000 tonnes","19881"
"Food Balances (-2013, old methodology and population)","United States of America","Production","Poultry Meat","2009","1000 tonnes","18953"
"Food Balances (-2013, old methodology and population)","United States of America","Production","Poultry Meat","2010","1000 tonnes","19583"
"Food Balances (-2013, old methodology and population)","United States of America","Production","Poultry Meat","2011","1000 tonnes","19792"
"Food Balances (-2013, old methodology and population)","United States of America","Production","Poultry Meat","2012","1000 tonnes","19796"
"Food Balances (-2013, old methodology and population)","United States of America","Production","Poultry Meat","2013","1000 tonnes","20085"
"Food Balances (-2013, old methodology and population)","United States of America","Import Quantity","Poultry Meat","2008","1000 tonnes","77"
"Food Balances (-2013, old methodology and population)","United States of America","Import Quantity","Poultry Meat","2009","1000 tonnes","78"
"Food Balances (-2013, old methodology and population)","United States of America","Import Quantity","Poultry Meat","2010","1000 tonnes","85"
"Food Balances (-2013, old methodology and population)","United States of America","Import Quantity","Poultry Meat","2011","1000 tonnes","85"
"Food Balances (-2013, old methodology and population)","United States of America","Import Quantity","Poultry Meat","2012","1000 tonnes","93"
"Food Balances (-2013, old methodology and population)","United States of America","Import Quantity","Poultry Meat","2013","1000 tonnes","101"
"Food Balances (-2013, old methodology and population)","United States of America","Stock Variation","Poultry Meat","2008","1000 tonnes","-8"
"Food Balances (-2013, old methodology and population)","United States of America","Stock Variation","Poultry Meat","2009","1000 tonnes","-5"
"Food Balances (-2013, old methodology and population)","United States of America","Stock Variation","Poultry Meat","2010","1000 tonnes","0"
"Food Balances (-2013, old methodology and population)","United States of America","Stock Variation","Poultry Meat","2011","1000 tonnes","280"
"Food Balances (-2013, old methodology and population)","United States of America","Stock Variation","Poultry Meat","2012","1000 tonnes","0"
"Food Balances (-2013, old methodology and population)","United States of America","Stock Variation","Poultry Meat","2013","1000 tonnes","0"
"Food Balances (-2013, old methodology and population)","United States of America","Export Quantity","Poultry Meat","2008","1000 tonnes","4052"
"Food Balances (-2013, old methodology and population)","United States of America","Export Quantity","Poultry Meat","2009","1000 tonnes","3868"
"Food Balances (-2013, old methodology and population)","United States of America","Export Quantity","Poultry Meat","2010","1000 tonnes","3692"
"Food Balances (-2013, old methodology and population)","United States of America","Export Quantity","Poultry Meat","2011","1000 tonnes","3888"
"Food Balances (-2013, old methodology and population)","United States of America","Export Quantity","Poultry Meat","2012","1000 tonnes","4066"
"Food Balances (-2013, old methodology and population)","United States of America","Export Quantity","Poultry Meat","2013","1000 tonnes","4086"
"Food Balances (-2013, old methodology and population)","United States of America","Losses","Poultry Meat","2008","",""
"Food Balances (-2013, old methodology and population)","United States of America","Losses","Poultry Meat","2009","",""
"Food Balances (-2013, old methodology and population)","United States of America","Losses","Poultry Meat","2010","",""
"Food Balances (-2013, old methodology and population)","United States of America","Losses","Poultry Meat","2011","",""
"Food Balances (-2013, old methodology and population)","United States of America","Losses","Poultry Meat","2012","",""
"Food Balances (-2013, old methodology and population)","United States of America","Losses","Poultry Meat","2013","",""
"Food Balances (-2013, old methodology and population)","United States of America","Processing","Poultry Meat","2008","1000 tonnes","0"
"Food Balances (-2013, old methodology and population)","United States of America","Processing","Poultry Meat","2009","1000 tonnes","0"
"Food Balances (-2013, old methodology and population)","United States of America","Processing","Poultry Meat","2010","1000 tonnes","0"
"Food Balances (-2013, old methodology and population)","United States of America","Processing","Poultry Meat","2011","1000 tonnes","0"
"Food Balances (-2013, old methodology and population)","United States of America","Processing","Poultry Meat","2012","1000 tonnes","31"
"Food Balances (-2013, old methodology and population)","United States of America","Processing","Poultry Meat","2013","1000 tonnes","24"
"Food Balances (-2013, old methodology and population)","United States of America","Other uses (non-food)","Poultry Meat","2008","1000 tonnes","70"
"Food Balances (-2013, old methodology and population)","United States of America","Other uses (non-food)","Poultry Meat","2009","1000 tonnes","70"
"Food Balances (-2013, old methodology and population)","United States of America","Other uses (non-food)","Poultry Meat","2010","1000 tonnes","70"
"Food Balances (-2013, old methodology and population)","United States of America","Other uses (non-food)","Poultry Meat","2011","1000 tonnes","70"
"Food Balances (-2013, old methodology and population)","United States of America","Other uses (non-food)","Poultry Meat","2012","1000 tonnes","70"
"Food Balances (-2013, old methodology and population)","United States of America","Other uses (non-food)","Poultry Meat","2013","1000 tonnes","70"
"Food Balances (-2013, old methodology and population)","United States of America","Tourist consumption","Poultry Meat","2008","",""
"Food Balances (-2013, old methodology and population)","United States of America","Tourist consumption","Poultry Meat","2009","",""
"Food Balances (-2013, old methodology and population)","United States of America","Tourist consumption","Poultry Meat","2010","",""
"Food Balances (-2013, old methodology and population)","United States of America","Tourist consumption","Poultry Meat","2011","",""
"Food Balances (-2013, old methodology and population)","United States of America","Tourist consumption","Poultry Meat","2012","",""
"Food Balances (-2013, old methodology and population)","United States of America","Tourist consumption","Poultry Meat","2013","",""
"Food Balances (-2013, old methodology and population)","United States of America","Residuals","Poultry Meat","2008","",""
"Food Balances (-2013, old methodology and population)","United States of America","Residuals","Poultry Meat","2009","",""
"Food Balances (-2013, old methodology and population)","United States of America","Residuals","Poultry Meat","2010","",""
"Food Balances (-2013, old methodology and population)","United States of America","Residuals","Poultry Meat","2011","",""
"Food Balances (-2013, old methodology and population)","United States of America","Residuals","Poultry Meat","2012","",""
"Food Balances (-2013, old methodology and population)","United States of America","Residuals","Poultry Meat","2013","",""
"Food Balances (-2013, old methodology and population)","United States of America","Production","Meat, Other","2008","1000 tonnes","278"
"Food Balances (-2013, old methodology and population)","United States of America","Production","Meat, Other","2009","1000 tonnes","278"
"Food Balances (-2013, old methodology and population)","United States of America","Production","Meat, Other","2010","1000 tonnes","277"
"Food Balances (-2013, old methodology and population)","United States of America","Production","Meat, Other","2011","1000 tonnes","277"
"Food Balances (-2013, old methodology and population)","United States of America","Production","Meat, Other","2012","1000 tonnes","283"
"Food Balances (-2013, old methodology and population)","United States of America","Production","Meat, Other","2013","1000 tonnes","287"
"Food Balances (-2013, old methodology and population)","United States of America","Import Quantity","Meat, Other","2008","1000 tonnes","11"
"Food Balances (-2013, old methodology and population)","United States of America","Import Quantity","Meat, Other","2009","1000 tonnes","8"
"Food Balances (-2013, old methodology and population)","United States of America","Import Quantity","Meat, Other","2010","1000 tonnes","8"
"Food Balances (-2013, old methodology and population)","United States of America","Import Quantity","Meat, Other","2011","1000 tonnes","9"
"Food Balances (-2013, old methodology and population)","United States of America","Import Quantity","Meat, Other","2012","1000 tonnes","9"
"Food Balances (-2013, old methodology and population)","United States of America","Import Quantity","Meat, Other","2013","1000 tonnes","9"
"Food Balances (-2013, old methodology and population)","United States of America","Stock Variation","Meat, Other","2008","1000 tonnes","1"
"Food Balances (-2013, old methodology and population)","United States of America","Stock Variation","Meat, Other","2009","1000 tonnes","1"
"Food Balances (-2013, old methodology and population)","United States of America","Stock Variation","Meat, Other","2010","1000 tonnes","0"
"Food Balances (-2013, old methodology and population)","United States of America","Stock Variation","Meat, Other","2011","1000 tonnes","0"
"Food Balances (-2013, old methodology and population)","United States of America","Stock Variation","Meat, Other","2012","1000 tonnes","0"
"Food Balances (-2013, old methodology and population)","United States of America","Stock Variation","Meat, Other","2013","1000 tonnes","0"
"Food Balances (-2013, old methodology and population)","United States of America","Export Quantity","Meat, Other","2008","1000 tonnes","5"
"Food Balances (-2013, old methodology and population)","United States of America","Export Quantity","Meat, Other","2009","1000 tonnes","4"
"Food Balances (-2013, old methodology and population)","United States of America","Export Quantity","Meat, Other","2010","1000 tonnes","6"
"Food Balances (-2013, old methodology and population)","United States of America","Export Quantity","Meat, Other","2011","1000 tonnes","6"
"Food Balances (-2013, old methodology and population)","United States of America","Export Quantity","Meat, Other","2012","1000 tonnes","6"
"Food Balances (-2013, old methodology and population)","United States of America","Export Quantity","Meat, Other","2013","1000 tonnes","6"
"Food Balances (-2013, old methodology and population)","United States of America","Losses","Meat, Other","2008","",""
"Food Balances (-2013, old methodology and population)","United States of America","Losses","Meat, Other","2009","",""
"Food Balances (-2013, old methodology and population)","United States of America","Losses","Meat, Other","2010","",""
"Food Balances (-2013, old methodology and population)","United States of America","Losses","Meat, Other","2011","",""
"Food Balances (-2013, old methodology and population)","United States of America","Losses","Meat, Other","2012","",""
"Food Balances (-2013, old methodology and population)","United States of America","Losses","Meat, Other","2013","",""
"Food Balances (-2013, old methodology and population)","United States of America","Processing","Meat, Other","2008","",""
"Food Balances (-2013, old methodology and population)","United States of America","Processing","Meat, Other","2009","",""
"Food Balances (-2013, old methodology and population)","United States of America","Processing","Meat, Other","2010","",""
"Food Balances (-2013, old methodology and population)","United States of America","Processing","Meat, Other","2011","",""
"Food Balances (-2013, old methodology and population)","United States of America","Processing","Meat, Other","2012","",""
"Food Balances (-2013, old methodology and population)","United States of America","Processing","Meat, Other","2013","",""
"Food Balances (-2013, old methodology and population)","United States of America","Other uses (non-food)","Meat, Other","2008","",""
"Food Balances (-2013, old methodology and population)","United States of America","Other uses (non-food)","Meat, Other","2009","",""
"Food Balances (-2013, old methodology and population)","United States of America","Other uses (non-food)","Meat, Other","2010","",""
"Food Balances (-2013, old methodology and population)","United States of America","Other uses (non-food)","Meat, Other","2011","",""
"Food Balances (-2013, old methodology and population)","United States of America","Other uses (non-food)","Meat, Other","2012","",""
"Food Balances (-2013, old methodology and population)","United States of America","Other uses (non-food)","Meat, Other","2013","",""
"Food Balances (-2013, old methodology and population)","United States of America","Tourist consumption","Meat, Other","2008","",""
"Food Balances (-2013, old methodology and population)","United States of America","Tourist consumption","Meat, Other","2009","",""
"Food Balances (-2013, old methodology and population)","United States of America","Tourist consumption","Meat, Other","2010","",""
"Food Balances (-2013, old methodology and population)","United States of America","Tourist consumption","Meat, Other","2011","",""
"Food Balances (-2013, old methodology and population)","United States of America","Tourist consumption","Meat, Other","2012","",""
"Food Balances (-2013, old methodology and population)","United States of America","Tourist consumption","Meat, Other","2013","",""
"Food Balances (-2013, old methodology and population)","United States of America","Residuals","Meat, Other","2008","",""
"Food Balances (-2013, old methodology and population)","United States of America","Residuals","Meat, Other","2009","",""
"Food Balances (-2013, old methodology and population)","United States of America","Residuals","Meat, Other","2010","",""
"Food Balances (-2013, old methodology and population)","United States of America","Residuals","Meat, Other","2011","",""
"Food Balances (-2013, old methodology and population)","United States of America","Residuals","Meat, Other","2012","",""
"Food Balances (-2013, old methodology and population)","United States of America","Residuals","Meat, Other","2013","",""
