Domain,Area,Element,Item,Year,Unit,Value
"Food Balances (-2013, old methodology and population)",Albania,Production,Mutton & Goat Meat,1991,1000 tonnes,13
"Food Balances (-2013, old methodology and population)",Albania,Production,Mutton & Goat Meat,1992,1000 tonnes,15
"Food Balances (-2013, old methodology and population)",Albania,Production,Mutton & Goat Meat,1993,1000 tonnes,15
"Food Balances (-2013, old methodology and population)",Albania,Production,Mutton & Goat Meat,1994,1000 tonnes,19
"Food Balances (-2013, old methodology and population)",Albania,Production,Mutton & Goat Meat,1995,1000 tonnes,18
"Food Balances (-2013, old methodology and population)",Albania,Production,Mutton & Goat Meat,1996,1000 tonnes,17
"Food Balances (-2013, old methodology and population)",Albania,Production,Mutton & Goat Meat,1997,1000 tonnes,16
"Food Balances (-2013, old methodology and population)",Albania,Production,Mutton & Goat Meat,1998,1000 tonnes,17
"Food Balances (-2013, old methodology and population)",Albania,Production,Mutton & Goat Meat,1999,1000 tonnes,18
"Food Balances (-2013, old methodology and population)",Albania,Production,Mutton & Goat Meat,2000,1000 tonnes,20
"Food Balances (-2013, old methodology and population)",Albania,Production,Mutton & Goat Meat,2001,1000 tonnes,19
"Food Balances (-2013, old methodology and population)",Albania,Production,Mutton & Goat Meat,2002,1000 tonnes,20
"Food Balances (-2013, old methodology and population)",Albania,Production,Mutton & Goat Meat,2003,1000 tonnes,20
"Food Balances (-2013, old methodology and population)",Albania,Production,Mutton & Goat Meat,2004,1000 tonnes,21
"Food Balances (-2013, old methodology and population)",Albania,Production,Mutton & Goat Meat,2005,1000 tonnes,21
"Food Balances (-2013, old methodology and population)",Albania,Production,Mutton & Goat Meat,2006,1000 tonnes,21
"Food Balances (-2013, old methodology and population)",Albania,Production,Mutton & Goat Meat,2007,1000 tonnes,26
"Food Balances (-2013, old methodology and population)",Albania,Production,Mutton & Goat Meat,2008,1000 tonnes,30
"Food Balances (-2013, old methodology and population)",Albania,Production,Mutton & Goat Meat,2009,1000 tonnes,34
"Food Balances (-2013, old methodology and population)",Albania,Production,Mutton & Goat Meat,2010,1000 tonnes,38
"Food Balances (-2013, old methodology and population)",Albania,Production,Mutton & Goat Meat,2011,1000 tonnes,41
"Food Balances (-2013, old methodology and population)",Albania,Production,Mutton & Goat Meat,2012,1000 tonnes,48
"Food Balances (-2013, old methodology and population)",Albania,Production,Mutton & Goat Meat,2013,1000 tonnes,49
"Food Balances (-2013, old methodology and population)",Albania,Production,Pigmeat,1991,1000 tonnes,9
"Food Balances (-2013, old methodology and population)",Albania,Production,Pigmeat,1992,1000 tonnes,11
"Food Balances (-2013, old methodology and population)",Albania,Production,Pigmeat,1993,1000 tonnes,13
"Food Balances (-2013, old methodology and population)",Albania,Production,Pigmeat,1994,1000 tonnes,14
"Food Balances (-2013, old methodology and population)",Albania,Production,Pigmeat,1995,1000 tonnes,14
"Food Balances (-2013, old methodology and population)",Albania,Production,Pigmeat,1996,1000 tonnes,6
"Food Balances (-2013, old methodology and population)",Albania,Production,Pigmeat,1997,1000 tonnes,7
"Food Balances (-2013, old methodology and population)",Albania,Production,Pigmeat,1998,1000 tonnes,7
"Food Balances (-2013, old methodology and population)",Albania,Production,Pigmeat,1999,1000 tonnes,6
"Food Balances (-2013, old methodology and population)",Albania,Production,Pigmeat,2000,1000 tonnes,8
"Food Balances (-2013, old methodology and population)",Albania,Production,Pigmeat,2001,1000 tonnes,8
"Food Balances (-2013, old methodology and population)",Albania,Production,Pigmeat,2002,1000 tonnes,9
"Food Balances (-2013, old methodology and population)",Albania,Production,Pigmeat,2003,1000 tonnes,9
"Food Balances (-2013, old methodology and population)",Albania,Production,Pigmeat,2004,1000 tonnes,10
"Food Balances (-2013, old methodology and population)",Albania,Production,Pigmeat,2005,1000 tonnes,11
"Food Balances (-2013, old methodology and population)",Albania,Production,Pigmeat,2006,1000 tonnes,11
"Food Balances (-2013, old methodology and population)",Albania,Production,Pigmeat,2007,1000 tonnes,14
"Food Balances (-2013, old methodology and population)",Albania,Production,Pigmeat,2008,1000 tonnes,16
"Food Balances (-2013, old methodology and population)",Albania,Production,Pigmeat,2009,1000 tonnes,16
"Food Balances (-2013, old methodology and population)",Albania,Production,Pigmeat,2010,1000 tonnes,17
"Food Balances (-2013, old methodology and population)",Albania,Production,Pigmeat,2011,1000 tonnes,18
"Food Balances (-2013, old methodology and population)",Albania,Production,Pigmeat,2012,1000 tonnes,17
"Food Balances (-2013, old methodology and population)",Albania,Production,Pigmeat,2013,1000 tonnes,17
"Food Balances (-2013, old methodology and population)",Albania,Production,Poultry Meat,1991,1000 tonnes,6
"Food Balances (-2013, old methodology and population)",Albania,Production,Poultry Meat,1992,1000 tonnes,3
"Food Balances (-2013, old methodology and population)",Albania,Production,Poultry Meat,1993,1000 tonnes,3
"Food Balances (-2013, old methodology and population)",Albania,Production,Poultry Meat,1994,1000 tonnes,4
"Food Balances (-2013, old methodology and population)",Albania,Production,Poultry Meat,1995,1000 tonnes,4
"Food Balances (-2013, old methodology and population)",Albania,Production,Poultry Meat,1996,1000 tonnes,4
"Food Balances (-2013, old methodology and population)",Albania,Production,Poultry Meat,1997,1000 tonnes,4
"Food Balances (-2013, old methodology and population)",Albania,Production,Poultry Meat,1998,1000 tonnes,5
"Food Balances (-2013, old methodology and population)",Albania,Production,Poultry Meat,1999,1000 tonnes,5
"Food Balances (-2013, old methodology and population)",Albania,Production,Poultry Meat,2000,1000 tonnes,4
"Food Balances (-2013, old methodology and population)",Albania,Production,Poultry Meat,2001,1000 tonnes,4
"Food Balances (-2013, old methodology and population)",Albania,Production,Poultry Meat,2002,1000 tonnes,6
"Food Balances (-2013, old methodology and population)",Albania,Production,Poultry Meat,2003,1000 tonnes,8
"Food Balances (-2013, old methodology and population)",Albania,Production,Poultry Meat,2004,1000 tonnes,9
"Food Balances (-2013, old methodology and population)",Albania,Production,Poultry Meat,2005,1000 tonnes,9
"Food Balances (-2013, old methodology and population)",Albania,Production,Poultry Meat,2006,1000 tonnes,10
"Food Balances (-2013, old methodology and population)",Albania,Production,Poultry Meat,2007,1000 tonnes,13
"Food Balances (-2013, old methodology and population)",Albania,Production,Poultry Meat,2008,1000 tonnes,16
"Food Balances (-2013, old methodology and population)",Albania,Production,Poultry Meat,2009,1000 tonnes,17
"Food Balances (-2013, old methodology and population)",Albania,Production,Poultry Meat,2010,1000 tonnes,17
"Food Balances (-2013, old methodology and population)",Albania,Production,Poultry Meat,2011,1000 tonnes,17
"Food Balances (-2013, old methodology and population)",Albania,Production,Poultry Meat,2012,1000 tonnes,16
"Food Balances (-2013, old methodology and population)",Albania,Production,Poultry Meat,2013,1000 tonnes,17
"Food Balances (-2013, old methodology and population)",Algeria,Production,Bovine Meat,1991,1000 tonnes,94
"Food Balances (-2013, old methodology and population)",Algeria,Production,Bovine Meat,1992,1000 tonnes,97
"Food Balances (-2013, old methodology and population)",Algeria,Production,Bovine Meat,1993,1000 tonnes,98
"Food Balances (-2013, old methodology and population)",Algeria,Production,Bovine Meat,1994,1000 tonnes,101
"Food Balances (-2013, old methodology and population)",Algeria,Production,Bovine Meat,1995,1000 tonnes,101
"Food Balances (-2013, old methodology and population)",Algeria,Production,Bovine Meat,1996,1000 tonnes,99
"Food Balances (-2013, old methodology and population)",Algeria,Production,Bovine Meat,1997,1000 tonnes,102
"Food Balances (-2013, old methodology and population)",Algeria,Production,Bovine Meat,1998,1000 tonnes,103
"Food Balances (-2013, old methodology and population)",Algeria,Production,Bovine Meat,1999,1000 tonnes,117
"Food Balances (-2013, old methodology and population)",Algeria,Production,Bovine Meat,2000,1000 tonnes,133
"Food Balances (-2013, old methodology and population)",Algeria,Production,Bovine Meat,2001,1000 tonnes,105
"Food Balances (-2013, old methodology and population)",Algeria,Production,Bovine Meat,2002,1000 tonnes,116
"Food Balances (-2013, old methodology and population)",Algeria,Production,Bovine Meat,2003,1000 tonnes,121
"Food Balances (-2013, old methodology and population)",Algeria,Production,Bovine Meat,2004,1000 tonnes,125
"Food Balances (-2013, old methodology and population)",Algeria,Production,Bovine Meat,2005,1000 tonnes,120
"Food Balances (-2013, old methodology and population)",Algeria,Production,Bovine Meat,2006,1000 tonnes,122
"Food Balances (-2013, old methodology and population)",Algeria,Production,Bovine Meat,2007,1000 tonnes,123
"Food Balances (-2013, old methodology and population)",Algeria,Production,Bovine Meat,2008,1000 tonnes,125
"Food Balances (-2013, old methodology and population)",Algeria,Production,Bovine Meat,2009,1000 tonnes,131
"Food Balances (-2013, old methodology and population)",Algeria,Production,Bovine Meat,2010,1000 tonnes,126
"Food Balances (-2013, old methodology and population)",Algeria,Production,Bovine Meat,2011,1000 tonnes,125
"Food Balances (-2013, old methodology and population)",Algeria,Production,Bovine Meat,2012,1000 tonnes,136
"Food Balances (-2013, old methodology and population)",Algeria,Production,Bovine Meat,2013,1000 tonnes,140
"Food Balances (-2013, old methodology and population)",Algeria,Production,Mutton & Goat Meat,1991,1000 tonnes,152
"Food Balances (-2013, old methodology and population)",Algeria,Production,Mutton & Goat Meat,1992,1000 tonnes,164
"Food Balances (-2013, old methodology and population)",Algeria,Production,Mutton & Goat Meat,1993,1000 tonnes,178
"Food Balances (-2013, old methodology and population)",Algeria,Production,Mutton & Goat Meat,1994,1000 tonnes,178
"Food Balances (-2013, old methodology and population)",Algeria,Production,Mutton & Goat Meat,1995,1000 tonnes,178
"Food Balances (-2013, old methodology and population)",Algeria,Production,Mutton & Goat Meat,1996,1000 tonnes,190
"Food Balances (-2013, old methodology and population)",Algeria,Production,Mutton & Goat Meat,1997,1000 tonnes,179
"Food Balances (-2013, old methodology and population)",Algeria,Production,Mutton & Goat Meat,1998,1000 tonnes,179
"Food Balances (-2013, old methodology and population)",Algeria,Production,Mutton & Goat Meat,1999,1000 tonnes,175
"Food Balances (-2013, old methodology and population)",Algeria,Production,Mutton & Goat Meat,2000,1000 tonnes,176
"Food Balances (-2013, old methodology and population)",Algeria,Production,Mutton & Goat Meat,2001,1000 tonnes,177
"Food Balances (-2013, old methodology and population)",Algeria,Production,Mutton & Goat Meat,2002,1000 tonnes,177
"Food Balances (-2013, old methodology and population)",Algeria,Production,Mutton & Goat Meat,2003,1000 tonnes,177
"Food Balances (-2013, old methodology and population)",Algeria,Production,Mutton & Goat Meat,2004,1000 tonnes,185
"Food Balances (-2013, old methodology and population)",Algeria,Production,Mutton & Goat Meat,2005,1000 tonnes,191
"Food Balances (-2013, old methodology and population)",Algeria,Production,Mutton & Goat Meat,2006,1000 tonnes,199
"Food Balances (-2013, old methodology and population)",Algeria,Production,Mutton & Goat Meat,2007,1000 tonnes,201
"Food Balances (-2013, old methodology and population)",Algeria,Production,Mutton & Goat Meat,2008,1000 tonnes,193
"Food Balances (-2013, old methodology and population)",Algeria,Production,Mutton & Goat Meat,2009,1000 tonnes,212
"Food Balances (-2013, old methodology and population)",Algeria,Production,Mutton & Goat Meat,2010,1000 tonnes,221
"Food Balances (-2013, old methodology and population)",Algeria,Production,Mutton & Goat Meat,2011,1000 tonnes,270
"Food Balances (-2013, old methodology and population)",Algeria,Production,Mutton & Goat Meat,2012,1000 tonnes,279
"Food Balances (-2013, old methodology and population)",Algeria,Production,Mutton & Goat Meat,2013,1000 tonnes,298
"Food Balances (-2013, old methodology and population)",Algeria,Production,Pigmeat,1991,1000 tonnes,0
"Food Balances (-2013, old methodology and population)",Algeria,Production,Pigmeat,1992,1000 tonnes,0
"Food Balances (-2013, old methodology and population)",Algeria,Production,Pigmeat,1993,1000 tonnes,0
"Food Balances (-2013, old methodology and population)",Algeria,Production,Pigmeat,1994,1000 tonnes,0
"Food Balances (-2013, old methodology and population)",Algeria,Production,Pigmeat,1995,1000 tonnes,0
"Food Balances (-2013, old methodology and population)",Algeria,Production,Pigmeat,1996,1000 tonnes,0
"Food Balances (-2013, old methodology and population)",Algeria,Production,Pigmeat,1997,1000 tonnes,0
"Food Balances (-2013, old methodology and population)",Algeria,Production,Pigmeat,1998,1000 tonnes,0
"Food Balances (-2013, old methodology and population)",Algeria,Production,Pigmeat,1999,1000 tonnes,0
"Food Balances (-2013, old methodology and population)",Algeria,Production,Pigmeat,2000,1000 tonnes,0
"Food Balances (-2013, old methodology and population)",Algeria,Production,Pigmeat,2001,1000 tonnes,0
"Food Balances (-2013, old methodology and population)",Algeria,Production,Pigmeat,2002,1000 tonnes,0
"Food Balances (-2013, old methodology and population)",Algeria,Production,Pigmeat,2003,1000 tonnes,0
"Food Balances (-2013, old methodology and population)",Algeria,Production,Pigmeat,2004,1000 tonnes,0
"Food Balances (-2013, old methodology and population)",Algeria,Production,Pigmeat,2005,1000 tonnes,0
"Food Balances (-2013, old methodology and population)",Algeria,Production,Pigmeat,2006,1000 tonnes,0
"Food Balances (-2013, old methodology and population)",Algeria,Production,Pigmeat,2007,1000 tonnes,0
"Food Balances (-2013, old methodology and population)",Algeria,Production,Pigmeat,2008,1000 tonnes,0
"Food Balances (-2013, old methodology and population)",Algeria,Production,Pigmeat,2009,1000 tonnes,0
"Food Balances (-2013, old methodology and population)",Algeria,Production,Pigmeat,2010,1000 tonnes,0
"Food Balances (-2013, old methodology and population)",Algeria,Production,Pigmeat,2011,1000 tonnes,0
"Food Balances (-2013, old methodology and population)",Algeria,Production,Pigmeat,2012,1000 tonnes,0
"Food Balances (-2013, old methodology and population)",Algeria,Production,Pigmeat,2013,1000 tonnes,0
"Food Balances (-2013, old methodology and population)",Algeria,Production,Poultry Meat,1991,1000 tonnes,197
"Food Balances (-2013, old methodology and population)",Algeria,Production,Poultry Meat,1992,1000 tonnes,199
"Food Balances (-2013, old methodology and population)",Algeria,Production,Poultry Meat,1993,1000 tonnes,204
"Food Balances (-2013, old methodology and population)",Algeria,Production,Poultry Meat,1994,1000 tonnes,210
"Food Balances (-2013, old methodology and population)",Algeria,Production,Poultry Meat,1995,1000 tonnes,208
"Food Balances (-2013, old methodology and population)",Algeria,Production,Poultry Meat,1996,1000 tonnes,215
"Food Balances (-2013, old methodology and population)",Algeria,Production,Poultry Meat,1997,1000 tonnes,220
"Food Balances (-2013, old methodology and population)",Algeria,Production,Poultry Meat,1998,1000 tonnes,247
"Food Balances (-2013, old methodology and population)",Algeria,Production,Poultry Meat,1999,1000 tonnes,235
"Food Balances (-2013, old methodology and population)",Algeria,Production,Poultry Meat,2000,1000 tonnes,244
"Food Balances (-2013, old methodology and population)",Algeria,Production,Poultry Meat,2001,1000 tonnes,242
"Food Balances (-2013, old methodology and population)",Algeria,Production,Poultry Meat,2002,1000 tonnes,245
"Food Balances (-2013, old methodology and population)",Algeria,Production,Poultry Meat,2003,1000 tonnes,258
"Food Balances (-2013, old methodology and population)",Algeria,Production,Poultry Meat,2004,1000 tonnes,268
"Food Balances (-2013, old methodology and population)",Algeria,Production,Poultry Meat,2005,1000 tonnes,270
"Food Balances (-2013, old methodology and population)",Algeria,Production,Poultry Meat,2006,1000 tonnes,261
"Food Balances (-2013, old methodology and population)",Algeria,Production,Poultry Meat,2007,1000 tonnes,266
"Food Balances (-2013, old methodology and population)",Algeria,Production,Poultry Meat,2008,1000 tonnes,267
"Food Balances (-2013, old methodology and population)",Algeria,Production,Poultry Meat,2009,1000 tonnes,270
"Food Balances (-2013, old methodology and population)",Algeria,Production,Poultry Meat,2010,1000 tonnes,275
"Food Balances (-2013, old methodology and population)",Algeria,Production,Poultry Meat,2011,1000 tonnes,277
"Food Balances (-2013, old methodology and population)",Algeria,Production,Poultry Meat,2012,1000 tonnes,289
"Food Balances (-2013, old methodology and population)",Algeria,Production,Poultry Meat,2013,1000 tonnes,288
"Food Balances (-2013, old methodology and population)",Angola,Production,Bovine Meat,1991,1000 tonnes,60
"Food Balances (-2013, old methodology and population)",Angola,Production,Bovine Meat,1992,1000 tonnes,66
"Food Balances (-2013, old methodology and population)",Angola,Production,Bovine Meat,1993,1000 tonnes,68
"Food Balances (-2013, old methodology and population)",Angola,Production,Bovine Meat,1994,1000 tonnes,65
"Food Balances (-2013, old methodology and population)",Angola,Production,Bovine Meat,1995,1000 tonnes,55
"Food Balances (-2013, old methodology and population)",Angola,Production,Bovine Meat,1996,1000 tonnes,71
"Food Balances (-2013, old methodology and population)",Angola,Production,Bovine Meat,1997,1000 tonnes,77
"Food Balances (-2013, old methodology and population)",Angola,Production,Bovine Meat,1998,1000 tonnes,85
"Food Balances (-2013, old methodology and population)",Angola,Production,Bovine Meat,1999,1000 tonnes,84
"Food Balances (-2013, old methodology and population)",Angola,Production,Bovine Meat,2000,1000 tonnes,94
"Food Balances (-2013, old methodology and population)",Angola,Production,Bovine Meat,2001,1000 tonnes,94
"Food Balances (-2013, old methodology and population)",Angola,Production,Bovine Meat,2002,1000 tonnes,96
